date,gasUsedApproveAmoy,gasUsedDepositAmoy,gasUsedExecuteBridgeArbitrum,timeAproveAmoy,timeDepositAmoy,timeExecuteBridgeArbitrum,priceAmoy,priceArbitrum(USD),full Time(ms),gasPriceAmoy,gasPriceArbitrum
2024-11-22T10:52:03.600Z,46952,68455,308551,9223,9124,4097,0.458572,3336.57,24213,119570000015,100000000
2024-11-22T10:55:34.785Z,46952,51355,241609,8816,8079,3625,0.457745,3330.97,22319,130829000015,100000000
