date,gasUsedApproveAmoy,gasUsedDepositAmoy,gasUsedExecuteBridgeAvalanche,timeAproveAmoy,timeDepositAmoy,timeExecuteBridgeAvalanche,priceAmoy,priceAvax(USD),full Time(ms),gasPriceAmoy,gasPriceAvax
2025-01-10T08:56:20.803Z,46952,68443,104106,12346,7662,5231,0.461538,37.68,27993,40000000000,1000000001
2025-01-10T08:58:10.680Z,46952,51343,87006,8209,7535,5330,0.461538,37.68,23725,40000000000,1000000001
2025-01-10T08:59:09.990Z,46952,51343,87006,8233,7258,5438,0.461538,37.68,23467,40000000000,1000000001
