date,gasUsedApproveAvalanche,gasUsedDepositAvalanche,gasUsedExecuteBridgeAmoy,timeAproveAvalanche,timeDepositAvalanche,timeExecuteBridgeAmoy,priceAvalanche,priceAmoy,full Time(ms),gasPriceAvalanche,gasPriceAmoy
2025-01-10T08:50:26.080Z,46952,56155,87018,6552,4407,9612,37.64,0.460605,22964,1000000001,40000000000
2025-01-10T08:52:13.878Z,46952,56155,87018,5516,4752,9235,37.64,0.460605,22146,1000000001,40000000000
2025-01-10T08:55:24.174Z,46952,56155,87018,5249,4787,9027,37.64,0.461538,21911,1000000001,40000000000
